LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Lecce;1/1/2021;"8";"3";"14";"6";"85";"23";"8";"18";"0";"1016";"0";"0";""
Lecce;2/1/2021;"12";"8";"15";"9";"81";"24";"20";"31";"0";"1014";"0";"0";""
Lecce;3/1/2021;"12";"9";"16";"10";"90";"22";"16";"33";"0";"1013";"0";"0";"pioggia "
Lecce;4/1/2021;"9";"6";"12";"8";"93";"17";"9";"15";"0";"1010";"0";"0";"pioggia "
Lecce;5/1/2021;"10";"3";"14";"6";"83";"19";"14";"26";"0";"1013";"0";"0";""
Lecce;6/1/2021;"13";"11";"15";"10";"83";"19";"17";"28";"0";"1015";"0";"0";""
Lecce;7/1/2021;"14";"12";"15";"12";"91";"16";"11";"24";"0";"1013";"0";"0";"pioggia "
Lecce;8/1/2021;"14";"13";"15";"13";"96";"8";"11";"15";"0";"1009";"0";"0";""
Lecce;9/1/2021;"11";"9";"13";"9";"92";"12";"10";"15";"0";"1012";"0";"0";"pioggia "
Lecce;10/1/2021;"13";"10";"15";"12";"95";"10";"11";"17";"0";"1010";"0";"0";"pioggia temporale "
Lecce;11/1/2021;"11";"8";"13";"10";"93";"17";"13";"24";"0";"1012";"0";"0";"pioggia "
Lecce;12/1/2021;"9";"6";"12";"8";"92";"18";"16";"28";"0";"1012";"0";"0";""
Lecce;13/1/2021;"8";"5";"13";"4";"78";"20";"12";"21";"0";"1012";"0";"0";"pioggia "
Lecce;14/1/2021;"9,3";"4,4";"13,8";"4,6";"73";"0";"12";"0";"48";"0";"1010";"0";""
Lecce;15/1/2021;"8";"4";"10";"2";"64";"20";"13";"18";"0";"1012";"0";"0";""
Lecce;16/1/2021;"6";"3";"8";"2";"68";"19";"22";"39";"0";"1012";"0";"0";""
Lecce;17/1/2021;"5";"1";"7";"2";"75";"21";"11";"21";"0";"1016";"0";"0";""
Lecce;18/1/2021;"3";"2";"6";"3";"91";"20";"11";"21";"0";"1019";"0";"0";"pioggia "
Lecce;19/1/2021;"5";"0";"11";"3";"88";"18";"9";"21";"0";"1026";"0";"0";""
Lecce;20/1/2021;"8";"2";"14";"5";"84";"21";"10";"17";"0";"1026";"0";"0";""
Lecce;21/1/2021;"12,3";"8,7";"15,7";"9";"81";"0";"15";"0";"45";"0";"1021";"0";""
Lecce;22/1/2021;"13,9";"12,1";"16,1";"10,1";"78";"0";"22";"0";"62";"0";"1015";"0";""
Lecce;23/1/2021;"12,8";"10,6";"14,5";"8,1";"73";"0";"23";"0";"63";"0";"1007";"3,2";"pioggia "
Lecce;24/1/2021;"12,4";"10,4";"14,6";"8,3";"75";"0";"23";"0";"73";"0";"1002";"3,2";"pioggia "
Lecce;25/1/2021;"13";"10";"14";"8";"74";"24";"18";"28";"0";"1007";"0";"0";""
Lecce;26/1/2021;"11";"6";"14";"9";"87";"20";"24";"42";"0";"1005";"0";"0";"pioggia "
Lecce;27/1/2021;"7,1";"5,9";"9,4";"-2,8";"49";"0";"21";"0";"62";"0";"1013";"0,7";"pioggia "
Lecce;28/1/2021;"7";"0";"12";"3";"79";"20";"7";"13";"0";"1016";"0";"0";""
Lecce;29/1/2021;"12";"7";"15";"10";"88";"21";"14";"26";"0";"1009";"0";"0";""
Lecce;30/1/2021;"13";"8";"17";"10";"83";"21";"13";"24";"0";"1005";"0";"0";""
Lecce;31/1/2021;"13";"11";"15";"12";"95";"12";"19";"31";"0";"999";"0";"0";"pioggia "
