LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA m;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Potenza;1/12/2023;"14,1";"12,9";"16,1";"7,2";"63";"0";"18";"0";"81";"0";"1009";"0";""
Potenza;2/12/2023;"11,6";"7,8";"14,1";"7,1";"75";"0";"31";"0";"86";"0";"1005";"1,4";"pioggia "
Potenza;3/12/2023;"6,1";"4";"8,5";"3,7";"85";"0";"12";"0";"49";"0";"1016";"0,7";"pioggia "
Potenza;4/12/2023;"5,7";"3,8";"8,5";"2,6";"81";"0";"5";"0";"34";"0";"1021";"0";""
Potenza;5/12/2023;"7,2";"6,3";"9";"5,1";"86";"0";"11";"0";"40";"0";"1011";"3,6";"pioggia "
Potenza;6/12/2023;"6,1";"4,5";"8,5";"3,8";"85";"0";"8";"0";"34";"0";"1011";"0";""
Potenza;7/12/2023;"3,2";"1,2";"5";"1,2";"87";"0";"8";"0";"37";"0";"1018";"0";""
Potenza;8/12/2023;"3,9";"1,2";"7,4";"-1,5";"68";"0";"4";"0";"20";"0";"1016";"0";""
Potenza;9/12/2023;"4,3";"3,1";"6";"0";"74";"0";"6";"0";"29";"0";"1016";"0";""
Potenza;10/12/2023;"6,3";"4,9";"8,3";"4,4";"88";"0";"18";"0";"62";"0";"1014";"3,6";"pioggia "
Potenza;11/12/2023;"7,7";"4,6";"10,4";"4,1";"79";"0";"15";"0";"54";"0";"1017";"0";""
Potenza;12/12/2023;"10,6";"8,8";"12,8";"8,4";"86";"0";"16";"0";"55";"0";"1015";"0";""
Potenza;13/12/2023;"11,9";"10,5";"14,1";"9";"82";"0";"21";"0";"63";"0";"1008";"0";""
Potenza;14/12/2023;"8,1";"5,7";"11,1";"6,3";"88";"0";"13";"0";"63";"0";"1009";"2,1";"pioggia "
Potenza;15/12/2023;"4,9";"3,2";"6,2";"3,5";"91";"0";"16";"0";"54";"0";"1019";"1,1";"pioggia "
Potenza;16/12/2023;"2";"0,9";"2,9";"0,4";"89";"0";"21";"0";"69";"0";"1028";"2,5";"pioggia neve "
Potenza;17/12/2023;"2,9";"1,1";"5,2";"0,1";"82";"0";"9";"0";"38";"0";"1036";"0";""
Potenza;18/12/2023;"7";"3,9";"9,8";"1,1";"66";"0";"3";"0";"20";"0";"1033";"0";""
Potenza;19/12/2023;"10";"8";"12,7";"0,8";"52";"0";"4";"0";"14";"0";"1024";"0";""
Potenza;20/12/2023;"7,4";"5,5";"10,9";"2,3";"71";"0";"6";"0";"23";"0";"1013";"0";""
Potenza;21/12/2023;"6,3";"5";"7,7";"4,3";"86";"0";"9";"0";"57";"0";"1010";"0";""
Potenza;22/12/2023;"8,4";"7,4";"10,6";"6,6";"88";"0";"17";"0";"63";"0";"1006";"0";""
Potenza;23/12/2023;"8,8";"7,5";"11,4";"6,5";"85";"0";"16";"0";"49";"0";"1012";"0";""
Potenza;24/12/2023;"9";"7,9";"11,5";"7";"87";"0";"14";"0";"37";"0";"1018";"0";""
Potenza;25/12/2023;"8,4";"7,7";"10,2";"6,8";"89";"0";"11";"0";"30";"0";"1020";"0";""
Potenza;26/12/2023;"7,5";"5,9";"10";"5,5";"87";"0";"8";"0";"32";"0";"1021";"0";""
Potenza;27/12/2023;"7,3";"5,5";"10,3";"4,4";"81";"0";"3";"0";"20";"0";"1026";"0";""
Potenza;28/12/2023;"7,5";"5,7";"10,9";"4,2";"79";"0";"6";"0";"23";"0";"1027";"0";""
Potenza;29/12/2023;"7,4";"6,3";"9,7";"5";"84";"0";"7";"0";"22";"0";"1025";"0";""
Potenza;30/12/2023;"7,6";"6,3";"10";"4,9";"83";"0";"5";"0";"19";"0";"1022";"0";""
Potenza;31/12/2023;"8,7";"7,3";"10,9";"5,5";"80";"0";"7";"0";"33";"0";"1019";"0";""
