LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Bari;1/2/2023;"7";"1";"14";"2";"63";"20";"10";"15";"0";"1022";"0";"0";""
Bari;2/2/2023;"9";"2";"15";"3";"67";"20";"10";"17";"0";"1022";"0";"0";""
Bari;3/2/2023;"9";"3";"14";"3";"68";"20";"10";"22";"0";"1024";"0";"0";""
Bari;4/2/2023;"11";"5";"15";"5";"57";"20";"20";"35";"0";"1019";"0";"0";""
Bari;5/2/2023;"6";"4";"8";"0";"45";"18";"27";"35";"0";"1025";"0";"0";""
Bari;6/2/2023;"4";"4";"5";"0";"47";"22";"19";"30";"0";"1028";"0";"0";"pioggia neve "
Bari;7/2/2023;"4";"1";"6";"1";"65";"19";"11";"22";"0";"1031";"0";"0";"pioggia neve "
Bari;8/2/2023;"6";"5";"8";"2";"50";"19";"23";"33";"0";"1031";"0";"0";"pioggia "
Bari;9/2/2023;"6";"2";"8";"2";"64";"21";"11";"21";"0";"1031";"0";"0";"pioggia "
Bari;10/2/2023;"7";"4";"10";"2";"71";"20";"14";"21";"0";"1032";"0";"0";""
Bari;11/2/2023;"7";"3";"12";"3";"71";"20";"14";"18";"0";"1033";"0";"0";""
Bari;12/2/2023;"9";"5";"13";"2";"59";"18";"14";"22";"0";"1030";"0";"0";""
Bari;13/2/2023;"8";"1";"12";"2";"66";"19";"8";"13";"0";"1035";"0";"0";""
Bari;14/2/2023;"9";"5";"14";"5";"73";"19";"14";"21";"0";"1031";"0";"0";""
Bari;15/2/2023;"9";"5";"14";"5";"75";"19";"10";"15";"0";"1029";"0";"0";""
Bari;16/2/2023;"9";"4";"14";"6";"82";"15";"9";"18";"0";"1029";"0";"0";""
Bari;17/2/2023;"9";"3";"14";"5";"82";"11";"9";"17";"0";"1029";"0";"0";""
Bari;18/2/2023;"9";"3";"15";"6";"81";"15";"9";"13";"0";"1029";"0";"0";""
Bari;19/2/2023;"10";"6";"15";"6";"77";"19";"10";"15";"0";"1024";"0";"0";""
Bari;20/2/2023;"10";"5";"15";"8";"87";"11";"9";"11";"0";"1025";"0";"0";""
Bari;21/2/2023;"10";"5";"16";"8";"84";"15";"10";"18";"0";"1021";"0";"0";""
Bari;22/2/2023;"11";"7";"14";"9";"88";"9";"7";"13";"0";"1018";"0";"0";""
Bari;23/2/2023;"10";"5";"15";"8";"88";"5";"9";"18";"0";"1016";"0";"0";""
Bari;24/2/2023;"12";"5";"20";"8";"80";"12";"11";"24";"0";"1013";"0";"0";""
Bari;25/2/2023;"15";"10";"17";"11";"78";"11";"13";"18";"0";"1005";"0";"0";""
Bari;26/2/2023;"14";"8";"19";"9";"76";"13";"11";"35";"0";"999";"0";"0";"pioggia temporale "
Bari;27/2/2023;"11";"6";"16";"8";"81";"17";"9";"18";"0";"1011";"0";"0";"pioggia temporale "
Bari;28/2/2023;"11";"6";"13";"9";"89";"17";"6";"11";"0";"1017";"0";"0";"pioggia "
