LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA m;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Potenza;1/9/2023;"19,6";"14,8";"24";"10,6";"57";"0";"5";"0";"32";"0";"1019";"0";""
Potenza;2/9/2023;"21,7";"18,8";"25,9";"10,5";"50";"0";"5";"0";"28";"0";"1020";"0";""
Potenza;3/9/2023;"21,8";"18,6";"25,8";"9,3";"46";"0";"6";"0";"32";"0";"1021";"0";""
Potenza;4/9/2023;"18,2";"15,7";"20,9";"10,4";"61";"0";"19";"0";"59";"0";"1017";"0";""
Potenza;5/9/2023;"17,5";"14,9";"21,2";"12,1";"71";"0";"22";"0";"65";"0";"1013";"2,9";"pioggia "
Potenza;6/9/2023;"18,7";"15,8";"22";"12,9";"70";"0";"18";"0";"62";"0";"1016";"1";"pioggia "
Potenza;7/9/2023;"18";"16";"21,2";"13,8";"76";"0";"12";"0";"52";"0";"1016";"9,7";"pioggia "
Potenza;8/9/2023;"19,5";"15,7";"23,8";"12,4";"64";"0";"10";"0";"46";"0";"1016";"0";""
Potenza;9/9/2023;"20,3";"16,7";"24,4";"11,9";"59";"0";"7";"0";"35";"0";"1017";"0";""
Potenza;10/9/2023;"21,5";"17,9";"25,6";"10,7";"51";"0";"7";"0";"32";"0";"1017";"0";""
Potenza;11/9/2023;"22,9";"19,9";"27,2";"8,5";"40";"0";"4";"0";"26";"0";"1016";"0";""
Potenza;12/9/2023;"23,2";"19,8";"28,1";"10,8";"48";"0";"5";"0";"28";"0";"1016";"0";""
Potenza;13/9/2023;"21,4";"18,2";"25,7";"9,8";"51";"0";"8";"0";"38";"0";"1018";"0";""
Potenza;14/9/2023;"20,5";"18,3";"24,4";"12,2";"59";"0";"3";"0";"20";"0";"1018";"0,7";"pioggia "
Potenza;15/9/2023;"21,1";"18";"25,5";"14,1";"66";"0";"4";"0";"28";"0";"1018";"0";""
Potenza;16/9/2023;"19,9";"17,7";"24,4";"13,4";"68";"0";"4";"0";"36";"0";"1019";"0,9";"pioggia "
Potenza;17/9/2023;"22,2";"18,8";"26,2";"12,1";"53";"0";"4";"0";"26";"0";"1019";"0";""
Potenza;18/9/2023;"24,3";"20,9";"29";"11,2";"45";"0";"7";"0";"38";"0";"1018";"0";""
Potenza;19/9/2023;"24,1";"21,5";"28,1";"9,2";"40";"0";"11";"0";"46";"0";"1016";"0";""
Potenza;20/9/2023;"23,6";"20,8";"27,1";"9,7";"42";"0";"6";"0";"37";"0";"1017";"0";""
Potenza;21/9/2023;"22,1";"20,4";"24";"9,8";"45";"0";"14";"0";"56";"0";"1014";"0";""
Potenza;22/9/2023;"24,6";"20,8";"29,1";"9,7";"40";"0";"14";"0";"52";"0";"1013";"0";""
Potenza;23/9/2023;"19,1";"13,9";"23,5";"13,6";"72";"0";"13";"0";"45";"0";"1012";"2,1";"pioggia "
Potenza;24/9/2023;"13,6";"10,9";"16,9";"10,4";"82";"0";"11";"0";"41";"0";"1015";"1,1";"pioggia "
Potenza;25/9/2023;"13,1";"10,7";"16";"10,8";"86";"0";"8";"0";"31";"0";"1016";"2,5";"pioggia "
Potenza;26/9/2023;"14,7";"13,4";"16,3";"14";"95";"0";"13";"0";"62";"0";"1016";"12";"pioggia "
Potenza;27/9/2023;"17,1";"14,4";"21,4";"12,6";"75";"0";"8";"0";"34";"0";"1017";"0";""
Potenza;28/9/2023;"18,4";"15,2";"22,5";"11,3";"64";"0";"5";"0";"25";"0";"1018";"0,7";"pioggia "
Potenza;29/9/2023;"18,1";"15,8";"21,3";"12,6";"71";"0";"3";"0";"26";"0";"1020";"0,5";"pioggia "
Potenza;30/9/2023;"17,8";"14,7";"21,8";"9,6";"59";"0";"5";"0";"26";"0";"1021";"0";""
