LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA m;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Potenza;1/7/2025;"25,9";"18,9";"32,7";"11,4";"40";"24200";"3";"0";"6";"1017";"0";"0";""
Potenza;2/7/2025;"25,5";"16,2";"32,6";"12,6";"44";"36376";"2";"0";"5";"1017";"0";"1,6";"pioggia "
Potenza;3/7/2025;"25,5";"15,7";"33,3";"10,4";"38";"78775";"2";"0";"5";"1018";"0";"0,6";"pioggia temporale "
Potenza;4/7/2025;"25,8";"16";"33,1";"11";"39";"51627";"2";"0";"5";"1019";"0";"0,1";""
Potenza;5/7/2025;"25,5";"16,9";"33";"13,7";"48";"35699";"2";"0";"10";"1016";"0";"7,4";"pioggia temporale "
Potenza;6/7/2025;"24,6";"15,1";"33,3";"13,3";"49";"66051";"4";"0";"9";"1013";"0";"0,1";""
Potenza;7/7/2025;"22,3";"15,3";"28,7";"15,4";"65";"55195";"6";"0";"11";"1010";"0";"8";"pioggia temporale "
Potenza;8/7/2025;"20,9";"15,2";"25,8";"15,8";"72";"34058";"7";"0";"13";"1010";"0";"0,1";""
Potenza;9/7/2025;"16,5";"10,6";"22,4";"10,1";"65";"67783";"5";"0";"9";"1015";"0";"0,1";""
Potenza;10/7/2025;"16,3";"10";"22,3";"6,8";"53";"73026";"4";"0";"8";"1016";"0";"0";""
Potenza;11/7/2025;"18,6";"11,7";"23,9";"6,3";"44";"51803";"3";"0";"8";"1015";"0";"0";""
Potenza;12/7/2025;"20,6";"11,9";"28";"7,9";"43";"80001";"2";"0";"4";"1016";"0";"0";""
Potenza;13/7/2025;"23";"15";"30,9";"8,1";"38";"74635";"3";"0";"7";"1018";"0";"0,4";"pioggia "
Potenza;14/7/2025;"23";"16,3";"29,3";"14,3";"58";"69959";"3";"0";"7";"1017";"0";"0,3";"pioggia "
Potenza;15/7/2025;"23,1";"16,4";"28,9";"11,5";"48";"59076";"4";"0";"8";"1015";"0";"0";""
Potenza;16/7/2025;"24,2";"16,7";"30,9";"12,4";"47";"38150";"3";"0";"7";"1013";"0";"0";""
Potenza;17/7/2025;"22,9";"15";"30,6";"14,9";"60";"51739";"3";"0";"10";"1011";"0";"2,8";"pioggia temporale "
Potenza;18/7/2025;"21,3";"13,5";"29,1";"7,5";"41";"80001";"3";"0";"7";"1014";"0";"0";""
Potenza;19/7/2025;"24,1";"15,8";"31,2";"11,3";"44";"52101";"3";"0";"6";"1014";"0";"0";""
Potenza;20/7/2025;"25,8";"15,6";"34,4";"10,2";"37";"45126";"5";"0";"13";"1012";"0";"0";""
Potenza;21/7/2025;"26,6";"17,9";"34,1";"14,5";"47";"24183";"5";"0";"11";"1013";"0";"0";""
Potenza;22/7/2025;"24,8";"15,1";"31,2";"14,5";"52";"24194";"5";"0";"11";"1013";"0";"0";""
Potenza;23/7/2025;"23,5";"15,5";"30,9";"11,3";"46";"23763";"4";"0";"8";"1015";"0";"0";""
Potenza;24/7/2025;"27,9";"17,9";"35,4";"6,1";"25";"24188";"3";"0";"8";"1014";"0";"0";""
Potenza;25/7/2025;"30,6";"21,9";"37";"7,2";"23";"24175";"3";"0";"8";"1013";"0";"0";""
Potenza;26/7/2025;"24,8";"14,6";"30,8";"14,4";"52";"23606";"4";"0";"10";"1012";"0";"0";""
Potenza;27/7/2025;"20,4";"14,3";"26,4";"14";"66";"22131";"4";"0";"9";"1010";"0";"0";""
Potenza;28/7/2025;"19,7";"14,4";"24,2";"15,2";"75";"20244";"6";"0";"14";"1007";"0";"0,6";"pioggia "
Potenza;29/7/2025;"17,7";"13,5";"21,5";"14,6";"82";"21788";"4";"0";"10";"1011";"0";"0,6";"pioggia "
Potenza;30/7/2025;"18,9";"12,9";"24,6";"12,8";"67";"24000";"4";"0";"7";"1016";"0";"0";""
Potenza;31/7/2025;"20,3";"13,5";"25,9";"10,8";"54";"24175";"3";"0";"6";"1016";"0";"0";""
