LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Bari;1/5/2022;"16";"8";"21";"5";"52";"20";"15";"30";"0";"1015";"0";"0";""
Bari;2/5/2022;"14";"12";"19";"11";"82";"18";"9";"17";"0";"1012";"0";"0";"pioggia temporale "
Bari;3/5/2022;"15";"10";"19";"11";"77";"20";"9";"15";"0";"1014";"0";"0";""
Bari;4/5/2022;"15";"8";"19";"11";"78";"20";"10";"22";"0";"1018";"0";"0";""
Bari;5/5/2022;"17";"10";"24";"10";"65";"19";"11";"21";"0";"1019";"0";"0";""
Bari;6/5/2022;"16";"14";"19";"13";"82";"17";"18";"33";"0";"1017";"0";"0";"pioggia "
Bari;7/5/2022;"17";"13";"21";"13";"81";"19";"14";"24";"0";"1014";"0";"0";"pioggia "
Bari;8/5/2022;"15";"12";"20";"14";"89";"18";"10";"30";"0";"1016";"0";"0";"pioggia temporale "
Bari;9/5/2022;"17";"13";"20";"13";"83";"14";"9";"15";"0";"1020";"0";"0";"nebbia "
Bari;10/5/2022;"17";"12";"22";"11";"68";"20";"10";"17";"0";"1019";"0";"0";""
Bari;11/5/2022;"19";"14";"23";"11";"61";"20";"9";"15";"0";"1020";"0";"0";""
Bari;12/5/2022;"19";"12";"24";"12";"70";"19";"9";"15";"0";"1021";"0";"0";""
Bari;13/5/2022;"20";"12";"26";"9";"53";"19";"9";"15";"0";"1019";"0";"0";""
Bari;14/5/2022;"21";"16";"25";"13";"61";"20";"10";"17";"0";"1017";"0";"0";""
Bari;15/5/2022;"20";"15";"25";"14";"67";"19";"8";"17";"0";"1017";"0";"0";""
Bari;16/5/2022;"21";"15";"24";"17";"80";"21";"7";"15";"0";"1018";"0";"0";""
Bari;17/5/2022;"22";"16";"26";"16";"70";"19";"8";"15";"0";"1017";"0";"0";"pioggia "
Bari;18/5/2022;"21";"17";"24";"15";"68";"20";"15";"22";"0";"1017";"0";"0";""
Bari;19/5/2022;"19";"11";"22";"8";"52";"22";"12";"22";"0";"1025";"0";"0";""
Bari;20/5/2022;"18";"8";"26";"4";"44";"20";"9";"13";"0";"1026";"0";"0";""
Bari;21/5/2022;"21";"13";"27";"9";"46";"19";"8";"13";"0";"1018";"0";"0";""
Bari;22/5/2022;"23";"16";"28";"13";"55";"20";"8";"15";"0";"1012";"0";"0";""
Bari;23/5/2022;"22";"18";"26";"16";"67";"21";"7";"13";"0";"1009";"0";"0";""
Bari;24/5/2022;"25";"18";"33";"16";"57";"19";"12";"22";"0";"1008";"0";"0";""
Bari;25/5/2022;"26";"18";"33";"15";"55";"21";"11";"21";"0";"1012";"0";"0";""
Bari;26/5/2022;"24";"18";"28";"16";"66";"20";"8";"15";"0";"1017";"0";"0";""
Bari;27/5/2022;"22";"19";"25";"17";"79";"16";"6";"9";"0";"1015";"0";"0";"nebbia "
Bari;28/5/2022;"25";"19";"32";"14";"57";"20";"11";"28";"0";"1007";"0";"0";""
Bari;29/5/2022;"22";"18";"25";"16";"71";"21";"11";"18";"0";"1003";"0";"0";""
Bari;30/5/2022;"23";"16";"26";"16";"66";"19";"13";"26";"0";"1009";"0";"0";""
Bari;31/5/2022;"23";"17";"28";"17";"70";"20";"10";"22";"0";"1013";"0";"0";""
