LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Lecce;1/7/2025;"32";"26";"36";"15";"37";"21";"0";"0";"0";"1013";"0";"0";""
Lecce;2/7/2025;"29";"21";"35";"17";"52";"20";"0";"0";"0";"1014";"0";"0";""
Lecce;3/7/2025;"29";"20";"35";"17";"55";"19";"0";"0";"0";"1016";"0";"0";""
Lecce;4/7/2025;"29";"21";"35";"17";"55";"20";"0";"0";"0";"1016";"0";"0";""
Lecce;5/7/2025;"29";"20";"36";"19";"57";"20";"0";"0";"0";"1014";"0";"0";""
Lecce;6/7/2025;"30";"22";"38";"19";"57";"16";"0";"0";"0";"1012";"0";"0";"nebbia "
Lecce;7/7/2025;"30";"23";"36";"17";"50";"20";"0";"0";"0";"1009";"0";"0";""
Lecce;8/7/2025;"29";"24";"34";"19";"59";"20";"1";"26";"0";"1007";"0";"0";""
Lecce;9/7/2025;"25";"20";"28";"14";"50";"21";"8";"39";"0";"1011";"0";"0";""
Lecce;10/7/2025;"24";"18";"28";"12";"47";"20";"2";"28";"0";"1013";"0";"0";""
Lecce;11/7/2025;"24";"20";"29";"14";"53";"20";"0";"0";"0";"1012";"0";"0";""
Lecce;12/7/2025;"25";"16";"31";"13";"50";"20";"0";"0";"0";"1015";"0";"0";""
Lecce;13/7/2025;"26";"16";"33";"14";"53";"21";"0";"0";"0";"1017";"0";"0";""
Lecce;14/7/2025;"27";"19";"34";"17";"57";"20";"0";"0";"0";"1015";"0";"0";""
Lecce;15/7/2025;"28";"21";"33";"19";"60";"21";"3";"35";"0";"1012";"0";"0";""
Lecce;16/7/2025;"28";"20";"35";"17";"53";"22";"0";"0";"0";"1009";"0";"0";""
Lecce;17/7/2025;"28";"19";"36";"17";"53";"18";"0";"0";"0";"1008";"0";"0";""
Lecce;18/7/2025;"27";"21";"31";"16";"53";"19";"0";"0";"0";"1011";"0";"0";""
Lecce;19/7/2025;"26";"16";"33";"13";"46";"23";"0";"0";"0";"1013";"0";"0";""
Lecce;20/7/2025;"29";"20";"37";"13";"40";"21";"0";"0";"0";"1010";"0";"0";""
Lecce;21/7/2025;"31";"23";"38";"17";"49";"21";"0";"0";"0";"1009";"0";"0";""
Lecce;22/7/2025;"31";"24";"38";"18";"51";"20";"0";"0";"0";"1009";"0";"0";""
Lecce;23/7/2025;"29";"22";"35";"18";"55";"19";"0";"0";"0";"1011";"0";"0";""
Lecce;24/7/2025;"30";"21";"36";"15";"44";"19";"0";"0";"0";"1011";"0";"0";""
Lecce;25/7/2025;"32";"22";"41";"14";"37";"21";"0";"0";"0";"1011";"0";"0";""
Lecce;26/7/2025;"31";"24";"38";"18";"47";"19";"0";"0";"0";"1009";"0";"0";""
Lecce;27/7/2025;"27";"23";"31";"17";"54";"19";"0";"0";"0";"1008";"0";"0";""
Lecce;28/7/2025;"26";"19";"31";"17";"57";"19";"0";"0";"0";"1005";"0";"0";""
Lecce;29/7/2025;"25";"22";"31";"17";"62";"20";"0";"0";"0";"1007";"0";"0";"pioggia "
Lecce;30/7/2025;"25";"21";"29";"18";"66";"21";"0";"0";"0";"1011";"0";"0";"pioggia "
Lecce;31/7/2025;"24";"18";"30";"16";"63";"20";"1";"22";"11";"1013";"0";"0";""
