LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA m;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Potenza;1/12/2021;"5,5";"2,8";"7,7";"2,2";"79";"0";"21";"0";"63";"0";"1017";"0";""
Potenza;2/12/2021;"7,4";"6,2";"8,9";"5,7";"88";"0";"21";"0";"67";"0";"1005";"2,8";"pioggia "
Potenza;3/12/2021;"5,8";"4";"7";"5,4";"96";"0";"11";"0";"62";"0";"1005";"18,3";"pioggia "
Potenza;4/12/2021;"5,3";"2,6";"7,8";"2,2";"81";"0";"12";"0";"49";"0";"1012";"0";""
Potenza;5/12/2021;"6";"3,9";"7,6";"5,7";"97";"0";"20";"0";"66";"0";"1005";"6,6";"pioggia "
Potenza;6/12/2021;"3,3";"1,6";"4,3";"2,8";"96";"0";"8";"0";"44";"0";"1002";"3,5";"pioggia neve "
Potenza;7/12/2021;"1";"0,1";"2,8";"-1,1";"86";"0";"16";"0";"54";"0";"1010";"0";"neve "
Potenza;8/12/2021;"4,3";"-0,2";"7";"0,3";"76";"0";"14";"0";"70";"0";"1010";"0,7";"pioggia "
Potenza;9/12/2021;"3,5";"1,8";"6,5";"3,1";"96";"0";"18";"0";"68";"0";"1004";"16,7";"pioggia neve "
Potenza;10/12/2021;"2,7";"1,2";"4,3";"1";"88";"0";"16";"0";"58";"0";"1004";"4,2";"pioggia neve "
Potenza;11/12/2021;"3,3";"1,5";"4,6";"2,3";"92";"0";"13";"0";"66";"0";"998";"9,8";"pioggia neve "
Potenza;12/12/2021;"0,8";"0,1";"1,3";"1,1";"98";"0";"14";"0";"52";"0";"1016";"8,6";"pioggia neve "
Potenza;13/12/2021;"2,9";"1";"4,7";"1,1";"88";"0";"14";"0";"60";"0";"1022";"1,7";"pioggia neve "
Potenza;14/12/2021;"4,1";"3,4";"5,1";"2,7";"90";"0";"14";"0";"52";"0";"1023";"2,5";"pioggia "
Potenza;15/12/2021;"4,3";"3,3";"6,3";"2,4";"87";"0";"9";"0";"38";"0";"1025";"0,5";"pioggia "
Potenza;16/12/2021;"4,4";"3,6";"5,7";"3,1";"91";"0";"9";"0";"41";"0";"1026";"2,7";"pioggia "
Potenza;17/12/2021;"4,3";"3,2";"5,6";"3,6";"95";"0";"15";"0";"51";"0";"1027";"1,2";"pioggia "
Potenza;18/12/2021;"1,1";"-0,2";"2,9";"-2";"80";"0";"15";"0";"61";"0";"1027";"7,4";"pioggia neve "
Potenza;19/12/2021;"3,4";"-0,1";"5,3";"0,5";"81";"0";"10";"0";"43";"0";"1023";"0";""
Potenza;20/12/2021;"5,8";"4,4";"8,7";"2,3";"78";"0";"11";"0";"44";"0";"1018";"0";""
Potenza;21/12/2021;"4,4";"3";"6,3";"1,2";"79";"0";"5";"0";"26";"0";"1023";"0";""
Potenza;22/12/2021;"4,8";"3,6";"7,5";"2,4";"84";"0";"3";"0";"15";"0";"1023";"0";""
Potenza;23/12/2021;"5,5";"3,8";"8";"3,2";"85";"0";"8";"0";"40";"0";"1023";"0";""
Potenza;24/12/2021;"6,9";"5,7";"8,6";"4,7";"86";"0";"19";"0";"54";"0";"1020";"0";""
Potenza;25/12/2021;"8,4";"6,2";"10,1";"4,5";"76";"0";"18";"0";"56";"0";"1014";"0";""
Potenza;26/12/2021;"8,7";"8";"9,9";"7,1";"89";"0";"19";"0";"63";"0";"1010";"5,9";"pioggia "
Potenza;27/12/2021;"8,4";"7,3";"10,6";"6,8";"89";"0";"12";"0";"45";"0";"1009";"6,2";"pioggia "
Potenza;28/12/2021;"8,2";"7,2";"10,6";"5,5";"83";"0";"5";"0";"29";"0";"1008";"2,9";"pioggia "
Potenza;29/12/2021;"8";"5,8";"11";"6,8";"91";"0";"10";"0";"51";"0";"1009";"0";""
Potenza;30/12/2021;"6";"4,6";"7,9";"4,9";"92";"0";"9";"0";"45";"0";"1018";"0";""
Potenza;31/12/2021;"8,9";"6,6";"12,4";"4,7";"75";"0";"6";"0";"24";"0";"1024";"0";""
