LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Lecce;1/1/2022;"10";"4";"13";"8";"89";"17";"15";"26";"0";"1022";"0";"0";""
Lecce;2/1/2022;"10";"5";"15";"8";"84";"14";"10";"22";"0";"1024";"0";"0";""
Lecce;3/1/2022;"9";"4";"14";"8";"91";"12";"4";"11";"0";"1021";"0";"0";"nebbia "
Lecce;4/1/2022;"12";"8";"16";"11";"93";"13";"11";"21";"0";"1017";"0";"0";""
Lecce;5/1/2022;"14";"11";"16";"12";"90";"18";"26";"37";"0";"1009";"0";"0";""
Lecce;6/1/2022;"12";"9";"16";"11";"91";"19";"13";"24";"0";"1009";"0";"0";""
Lecce;7/1/2022;"11";"9";"13";"10";"93";"15";"8";"13";"0";"1012";"0";"0";"pioggia "
Lecce;8/1/2022;"10";"9";"11";"8";"88";"9";"17";"30";"0";"1009";"0";"0";"pioggia "
Lecce;9/1/2022;"8";"4";"10";"4";"81";"22";"10";"21";"0";"1005";"0";"0";"pioggia "
Lecce;10/1/2022;"6";"4";"9";"6";"99";"12";"7";"13";"0";"996";"0";"0";""
Lecce;11/1/2022;"10";"9";"11";"7";"78";"21";"26";"35";"0";"1005";"0";"0";""
Lecce;12/1/2022;"10";"9";"12";"5";"69";"20";"23";"30";"0";"1015";"0";"0";""
Lecce;13/1/2022;"7";"5";"9";"2";"68";"19";"18";"30";"0";"1026";"0";"0";""
Lecce;14/1/2022;"7";"1";"12";"6";"87";"18";"16";"31";"0";"1026";"0";"0";""
Lecce;15/1/2022;"11";"7";"15";"7";"81";"19";"20";"30";"0";"1020";"0";"0";""
Lecce;16/1/2022;"7";"2";"14";"4";"84";"20";"7";"13";"0";"1023";"0";"0";""
Lecce;17/1/2022;"8";"1";"14";"8";"87";"17";"12";"18";"0";"1023";"0";"0";"nebbia "
Lecce;18/1/2022;"7";"4";"12";"4";"77";"23";"16";"35";"0";"1027";"0";"0";""
Lecce;19/1/2022;"5";"0";"10";"2";"78";"20";"8";"17";"0";"1029";"0";"0";""
Lecce;20/1/2022;"7";"1";"13";"6";"87";"20";"9";"17";"0";"1024";"0";"0";""
Lecce;21/1/2022;"9";"7";"11";"6";"85";"22";"13";"22";"0";"1018";"0";"0";""
Lecce;22/1/2022;"5";"2";"8";"3";"65";"19";"23";"31";"0";"1021";"0";"0";"pioggia temporale "
Lecce;23/1/2022;"6";"2";"8";"1";"61";"20";"20";"30";"0";"1024";"0";"0";""
Lecce;24/1/2022;"4";"3";"5";"1";"59";"18";"21";"30";"0";"1026";"0";"0";"neve "
Lecce;25/1/2022;"4";"2";"7";"1";"67";"21";"19";"30";"0";"1028";"0";"0";""
Lecce;26/1/2022;"7";"1";"12";"4";"85";"18";"12";"28";"0";"1025";"0";"0";""
Lecce;27/1/2022;"9";"5";"11";"6";"85";"18";"10";"15";"0";"1025";"0";"0";""
Lecce;28/1/2022;"6";"0";"13";"4";"82";"17";"7";"18";"0";"1023";"0";"0";""
Lecce;29/1/2022;"8";"5";"10";"4";"57";"19";"23";"37";"0";"1021";"0";"0";"pioggia "
Lecce;30/1/2022;"5";"0";"11";"3";"79";"21";"8";"22";"0";"1020";"0";"0";""
Lecce;31/1/2022;"8";"-1";"14";"6";"81";"17";"11";"24";"0";"1011";"0";"0";"pioggia "
