LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA m;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Potenza;1/7/2021;"20,7";"16,3";"25,6";"10,4";"54";"0";"16";"0";"54";"0";"1014";"0";""
Potenza;2/7/2021;"19,9";"16,3";"24,5";"13,3";"68";"0";"11";"0";"49";"0";"1015";"0";""
Potenza;3/7/2021;"21,3";"18";"25,7";"13,6";"64";"0";"8";"0";"43";"0";"1015";"0";""
Potenza;4/7/2021;"22,7";"19,1";"27";"11";"48";"0";"13";"0";"47";"0";"1013";"0";""
Potenza;5/7/2021;"21,3";"18,7";"24,4";"14,5";"66";"0";"10";"0";"43";"0";"1011";"0";""
Potenza;6/7/2021;"23,8";"18,9";"29,1";"13";"53";"0";"7";"0";"30";"0";"1014";"0";""
Potenza;7/7/2021;"26,7";"22,3";"31,3";"15";"50";"0";"4";"0";"19";"0";"1015";"0";""
Potenza;8/7/2021;"27,8";"24,4";"32,2";"15,5";"49";"0";"5";"0";"27";"0";"1017";"0";""
Potenza;9/7/2021;"25,2";"20,7";"29,4";"12,2";"46";"0";"8";"0";"42";"0";"1017";"0";""
Potenza;10/7/2021;"23,7";"19,9";"28";"9,6";"43";"0";"5";"0";"23";"0";"1014";"0";""
Potenza;11/7/2021;"22,1";"19,1";"26,1";"12,5";"55";"0";"9";"0";"41";"0";"1014";"0";""
Potenza;12/7/2021;"23,5";"18,8";"28,5";"12,2";"50";"0";"7";"0";"33";"0";"1015";"0";""
Potenza;13/7/2021;"26,6";"22,4";"31,6";"10,6";"38";"0";"10";"0";"50";"0";"1012";"0";""
Potenza;14/7/2021;"21,5";"16";"25,5";"12,6";"58";"0";"17";"0";"51";"0";"1013";"0";""
Potenza;15/7/2021;"18,5";"15,1";"23,6";"11,9";"67";"0";"16";"0";"49";"0";"1015";"0";""
Potenza;16/7/2021;"18,4";"15";"22,8";"12,5";"70";"0";"12";"0";"50";"0";"1013";"0";""
Potenza;17/7/2021;"17,5";"15,7";"20,8";"13,9";"80";"0";"6";"0";"33";"0";"1009";"12,4";"pioggia "
Potenza;18/7/2021;"17,1";"15,7";"18,8";"15,2";"88";"0";"6";"0";"32";"0";"1006";"10,8";"pioggia "
Potenza;19/7/2021;"17,2";"15,8";"19,2";"16,2";"93";"0";"8";"0";"34";"0";"1009";"12,6";"pioggia "
Potenza;20/7/2021;"19";"16,1";"22,3";"15,1";"79";"0";"9";"0";"37";"0";"1014";"1,4";"pioggia "
Potenza;21/7/2021;"22,2";"18,7";"26,2";"12,2";"54";"0";"8";"0";"32";"0";"1018";"0";""
Potenza;22/7/2021;"21,7";"19,2";"25,4";"9,8";"47";"0";"9";"0";"40";"0";"1018";"0";""
Potenza;23/7/2021;"23,1";"20,1";"27,5";"10,3";"46";"0";"6";"0";"31";"0";"1015";"0";""
Potenza;24/7/2021;"24,2";"20,3";"29";"13,9";"55";"0";"7";"0";"31";"0";"1015";"0";""
Potenza;25/7/2021;"25,9";"22,6";"30";"13,5";"47";"0";"8";"0";"33";"0";"1015";"0";""
Potenza;26/7/2021;"25,9";"23,9";"29,6";"8,8";"34";"0";"7";"0";"37";"0";"1016";"0";""
Potenza;27/7/2021;"27,7";"24,1";"31,9";"9";"31";"0";"7";"0";"33";"0";"1018";"0";""
Potenza;28/7/2021;"27,9";"24,9";"31,9";"8,9";"31";"0";"8";"0";"36";"0";"1016";"0";""
Potenza;29/7/2021;"27,4";"24,2";"31,6";"6,9";"27";"0";"14";"0";"50";"0";"1015";"0";""
Potenza;30/7/2021;"26,8";"23,2";"31,6";"8,2";"31";"0";"10";"0";"42";"0";"1013";"0";""
Potenza;31/7/2021;"27,7";"24";"32,5";"10,8";"36";"0";"8";"0";"42";"0";"1012";"0";""
