LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Lecce;1/3/2023;"12";"9";"16";"10";"88";"11";"0";"0";"0";"1012";"0";"0";"pioggia "
Lecce;2/3/2023;"11";"7";"15";"8";"85";"21";"1";"18";"0";"1014";"0";"0";""
Lecce;3/3/2023;"9";"4";"15";"7";"86";"18";"0";"0";"0";"1014";"0";"0";"pioggia temporale "
Lecce;4/3/2023;"9";"6";"12";"7";"91";"19";"0";"0";"0";"1011";"0";"0";"pioggia temporale "
Lecce;5/3/2023;"8";"5";"12";"7";"90";"18";"1";"22";"0";"1011";"0";"0";"pioggia "
Lecce;6/3/2023;"10";"2";"16";"7";"84";"20";"0";"0";"0";"1012";"0";"0";""
Lecce;7/3/2023;"11";"9";"15";"8";"82";"21";"0";"0";"0";"1009";"0";"0";""
Lecce;8/3/2023;"10";"5";"16";"8";"85";"18";"0";"0";"0";"1012";"0";"0";""
Lecce;9/3/2023;"13";"9";"18";"10";"85";"17";"1";"17";"0";"1012";"0";"0";""
Lecce;10/3/2023;"13";"12";"15";"12";"89";"7";"0";"0";"0";"1008";"0";"0";""
Lecce;11/3/2023;"13";"10";"16";"10";"80";"19";"0";"0";"0";"1002";"0";"0";""
Lecce;12/3/2023;"10";"6";"14";"7";"79";"21";"0";"0";"0";"1009";"0";"0";""
Lecce;13/3/2023;"10";"4";"15";"5";"73";"20";"6";"18";"0";"1018";"0";"0";""
Lecce;14/3/2023;"12";"5";"17";"10";"88";"18";"22";"37";"0";"1011";"0";"0";""
Lecce;15/3/2023;"12";"9";"14";"9";"85";"20";"21";"37";"0";"1002";"0";"0";"pioggia temporale "
Lecce;16/3/2023;"10";"8";"12";"4";"66";"23";"29";"41";"0";"1011";"0";"0";""
Lecce;17/3/2023;"9";"4";"12";"2";"64";"23";"22";"35";"0";"1018";"0";"0";""
Lecce;18/3/2023;"8";"1";"15";"4";"81";"20";"5";"13";"0";"1019";"0";"0";""
Lecce;19/3/2023;"9";"3";"15";"6";"82";"21";"7";"18";"0";"1020";"0";"0";""
Lecce;20/3/2023;"11";"6";"15";"9";"89";"17";"11";"21";"0";"1019";"0";"0";"pioggia "
Lecce;21/3/2023;"11";"10";"12";"10";"92";"8";"10";"21";"0";"1014";"0";"0";"pioggia "
Lecce;22/3/2023;"11";"7";"17";"9";"87";"14";"15";"28";"0";"1014";"0";"0";""
Lecce;23/3/2023;"11";"5";"18";"8";"82";"13";"8";"17";"0";"1016";"0";"0";"nebbia "
Lecce;24/3/2023;"13";"5";"20";"9";"80";"17";"6";"13";"0";"1016";"0";"0";""
Lecce;25/3/2023;"13";"5";"18";"8";"77";"22";"9";"21";"0";"1013";"0";"0";""
Lecce;26/3/2023;"13";"5";"20";"9";"80";"22";"8";"17";"0";"1012";"0";"0";""
Lecce;27/3/2023;"12";"9";"18";"10";"85";"22";"21";"41";"0";"1005";"0";"0";"pioggia temporale "
Lecce;28/3/2023;"10";"7";"12";"5";"60";"19";"27";"42";"0";"1017";"0";"0";""
Lecce;29/3/2023;"8";"4";"14";"4";"74";"20";"10";"17";"0";"1027";"0";"0";""
Lecce;30/3/2023;"11";"4";"17";"6";"75";"20";"8";"15";"0";"1025";"0";"0";""
Lecce;31/3/2023;"13";"8";"18";"11";"87";"17";"16";"26";"0";"1017";"0";"0";""
