LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Bari;1/2/2025;"10";"4";"16";"8";"88";"19";"0";"0";"0";"1024";"0";"0";""
Bari;2/2/2025;"10";"7";"13";"10";"96";"14";"0";"0";"0";"1018";"0";"0";"pioggia "
Bari;3/2/2025;"11";"9";"13";"10";"91";"18";"0";"0";"0";"1016";"0";"0";"pioggia "
Bari;4/2/2025;"10";"7";"12";"6";"78";"19";"0";"0";"0";"1023";"0";"0";"pioggia "
Bari;5/2/2025;"9";"6";"12";"4";"74";"21";"0";"0";"0";"1029";"0";"0";""
Bari;6/2/2025;"9";"4";"14";"5";"77";"20";"0";"0";"0";"1029";"0";"0";""
Bari;7/2/2025;"8";"2";"13";"6";"86";"20";"0";"0";"0";"1028";"0";"0";"pioggia "
Bari;8/2/2025;"11";"7";"15";"7";"76";"20";"0";"0";"0";"1028";"0";"0";""
Bari;9/2/2025;"9";"3";"14";"5";"78";"20";"0";"0";"0";"1026";"0";"0";""
Bari;10/2/2025;"7";"2";"13";"4";"80";"20";"0";"0";"0";"1025";"0";"0";""
Bari;11/2/2025;"9";"3";"14";"5";"80";"22";"0";"0";"0";"1025";"0";"0";""
Bari;12/2/2025;"9";"5";"15";"6";"82";"17";"0";"0";"0";"1022";"0";"0";""
Bari;13/2/2025;"10";"4";"14";"6";"79";"20";"0";"0";"0";"1018";"0";"0";""
Bari;14/2/2025;"12";"8";"18";"7";"75";"21";"0";"0";"0";"1012";"0";"0";"pioggia temporale "
Bari;15/2/2025;"11";"9";"16";"9";"85";"17";"0";"0";"0";"1009";"0";"0";"pioggia "
Bari;16/2/2025;"10";"8";"12";"8";"92";"17";"0";"0";"0";"1012";"0";"0";"pioggia "
Bari;17/2/2025;"10";"9";"13";"7";"82";"20";"0";"0";"0";"1016";"0";"0";""
Bari;18/2/2025;"9";"7";"11";"5";"77";"20";"0";"0";"0";"1020";"0";"0";""
Bari;19/2/2025;"9";"7";"11";"4";"74";"19";"0";"0";"0";"1025";"0";"0";""
Bari;20/2/2025;"8";"6";"10";"4";"75";"21";"0";"0";"0";"1028";"0";"0";""
Bari;21/2/2025;"9";"4";"13";"4";"75";"20";"0";"0";"0";"1030";"0";"0";""
Bari;22/2/2025;"8";"2";"14";"3";"74";"20";"0";"0";"0";"1028";"0";"0";""
Bari;23/2/2025;"10";"4";"15";"6";"80";"20";"0";"0";"0";"1029";"0";"0";""
Bari;24/2/2025;"11";"6";"16";"7";"81";"15";"0";"0";"0";"1028";"0";"0";"pioggia "
Bari;25/2/2025;"11";"7";"15";"9";"84";"17";"0";"0";"0";"1022";"0";"0";"pioggia "
Bari;26/2/2025;"13";"9";"18";"9";"80";"18";"0";"0";"0";"1015";"0";"0";"pioggia "
Bari;27/2/2025;"11";"9";"13";"9";"88";"18";"0";"0";"0";"1014";"0";"0";"pioggia "
Bari;28/2/2025;"11";"6";"15";"7";"80";"20";"0";"0";"0";"1019";"0";"0";""
