LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Bari;1/4/2022;"13";"9";"18";"8";"73";"18";"13";"22";"0";"998";"0";"0";"pioggia "
Bari;2/4/2022;"11";"7";"15";"3";"57";"20";"19";"31";"0";"1004";"0";"0";"pioggia "
Bari;3/4/2022;"9";"4";"14";"3";"66";"18";"13";"28";"0";"1012";"0";"0";""
Bari;4/4/2022;"9";"4";"12";"6";"86";"18";"9";"15";"0";"1017";"0";"0";"pioggia "
Bari;5/4/2022;"9";"6";"14";"6";"83";"21";"9";"15";"0";"1014";"0";"0";""
Bari;6/4/2022;"12";"4";"18";"6";"66";"18";"14";"28";"0";"1011";"0";"0";"pioggia "
Bari;7/4/2022;"12";"9";"16";"10";"85";"18";"11";"26";"0";"1005";"0";"0";"pioggia "
Bari;8/4/2022;"15";"7";"20";"8";"64";"20";"13";"26";"0";"1010";"0";"0";""
Bari;9/4/2022;"17";"12";"23";"7";"50";"21";"20";"31";"0";"1006";"0";"0";""
Bari;10/4/2022;"12";"9";"15";"4";"58";"18";"25";"33";"0";"1011";"0";"0";"pioggia "
Bari;11/4/2022;"11";"6";"14";"2";"55";"20";"13";"18";"0";"1022";"0";"0";""
Bari;12/4/2022;"11";"3";"17";"3";"54";"21";"12";"24";"0";"1021";"0";"0";""
Bari;13/4/2022;"11";"4";"17";"6";"62";"20";"9";"18";"0";"1019";"0";"0";""
Bari;14/4/2022;"12";"6";"17";"7";"73";"19";"11";"24";"0";"1019";"0";"0";""
Bari;15/4/2022;"12";"6";"17";"8";"76";"20";"8";"13";"0";"1018";"0";"0";"pioggia "
Bari;16/4/2022;"15";"9";"20";"7";"63";"19";"10";"17";"0";"1013";"0";"0";""
Bari;17/4/2022;"14";"13";"15";"8";"65";"21";"17";"24";"0";"1009";"0";"0";"pioggia "
Bari;18/4/2022;"13";"9";"15";"3";"50";"21";"18";"24";"0";"1010";"0";"0";""
Bari;19/4/2022;"12";"8";"16";"3";"50";"20";"16";"22";"0";"1012";"0";"0";""
Bari;20/4/2022;"13";"6";"20";"6";"65";"20";"10";"21";"0";"1012";"0";"0";""
Bari;21/4/2022;"15";"12";"18";"11";"74";"21";"20";"35";"0";"1009";"0";"0";""
Bari;22/4/2022;"17";"14";"22";"9";"63";"17";"19";"39";"0";"1002";"0";"0";"pioggia "
Bari;23/4/2022;"16";"9";"21";"9";"66";"21";"12";"17";"0";"1009";"0";"0";""
Bari;24/4/2022;"20";"13";"27";"7";"45";"19";"13";"26";"0";"1009";"0";"0";""
Bari;25/4/2022;"16";"9";"21";"6";"50";"22";"14";"24";"0";"1012";"0";"0";""
Bari;26/4/2022;"16";"9";"20";"9";"65";"18";"12";"24";"0";"1014";"0";"0";""
Bari;27/4/2022;"15";"10";"19";"10";"73";"21";"10";"13";"0";"1016";"0";"0";""
Bari;28/4/2022;"15";"11";"18";"9";"69";"21";"17";"26";"0";"1018";"0";"0";""
Bari;29/4/2022;"16";"12";"19";"8";"62";"20";"15";"21";"0";"1018";"0";"0";""
Bari;30/4/2022;"16";"10";"20";"6";"52";"20";"12";"18";"0";"1017";"0";"0";""
