LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Lecce;1/6/2023;"20";"16";"24";"18";"90";"10";"10";"17";"0";"1014";"0";"0";"pioggia temporale nebbia "
Lecce;2/6/2023;"22";"17";"26";"19";"80";"15";"10";"15";"0";"1012";"0";"0";"pioggia temporale nebbia "
Lecce;3/6/2023;"20";"15";"26";"17";"86";"16";"7";"28";"0";"1014";"0";"0";"pioggia temporale "
Lecce;4/6/2023;"21";"14";"27";"17";"79";"18";"6";"17";"0";"1017";"0";"0";""
Lecce;5/6/2023;"21";"16";"27";"18";"88";"18";"8";"17";"0";"1016";"0";"0";""
Lecce;6/6/2023;"23";"21";"27";"20";"82";"17";"11";"18";"0";"1015";"0";"0";""
Lecce;7/6/2023;"23";"21";"25";"21";"90";"18";"10";"15";"0";"1015";"0";"0";"pioggia "
Lecce;8/6/2023;"24";"19";"28";"20";"82";"20";"10";"15";"0";"1013";"0";"0";""
Lecce;9/6/2023;"23";"16";"29";"18";"79";"17";"7";"15";"0";"1012";"0";"0";""
Lecce;10/6/2023;"22";"18";"28";"19";"88";"19";"8";"21";"0";"1011";"0";"0";"pioggia temporale "
Lecce;11/6/2023;"22";"17";"27";"19";"87";"20";"11";"21";"0";"1010";"0";"0";""
Lecce;12/6/2023;"22";"17";"25";"19";"87";"17";"9";"21";"0";"1009";"0";"0";"pioggia temporale "
Lecce;13/6/2023;"22";"18";"26";"20";"90";"15";"8";"21";"0";"1009";"0";"0";"pioggia temporale "
Lecce;14/6/2023;"23";"18";"28";"21";"86";"15";"13";"24";"0";"1010";"0";"0";"pioggia temporale "
Lecce;15/6/2023;"21";"19";"25";"20";"92";"9";"13";"26";"0";"1010";"0";"0";"pioggia temporale "
Lecce;16/6/2023;"20";"18";"22";"19";"93";"15";"17";"31";"0";"1007";"0";"0";"pioggia "
Lecce;17/6/2023;"21";"18";"25";"17";"80";"19";"22";"33";"0";"1010";"0";"0";""
Lecce;18/6/2023;"22";"17";"27";"16";"71";"20";"18";"28";"0";"1014";"0";"0";""
Lecce;19/6/2023;"23";"15";"30";"16";"69";"22";"10";"18";"0";"1016";"0";"0";""
Lecce;20/6/2023;"25";"16";"32";"15";"60";"22";"10";"18";"0";"1017";"0";"0";""
Lecce;21/6/2023;"26";"18";"33";"18";"65";"17";"11";"28";"0";"1017";"0";"0";""
Lecce;22/6/2023;"27";"19";"34";"21";"75";"21";"9";"18";"0";"1017";"0";"0";""
Lecce;23/6/2023;"30";"21";"35";"21";"64";"21";"7";"17";"0";"1015";"0";"0";""
Lecce;24/6/2023;"26";"22";"31";"23";"85";"22";"12";"22";"0";"1012";"0";"0";""
Lecce;25/6/2023;"25";"23";"28";"23";"86";"19";"16";"24";"0";"1012";"0";"0";""
Lecce;26/6/2023;"25";"20";"30";"20";"75";"19";"20";"30";"0";"1012";"0";"0";""
Lecce;27/6/2023;"26";"18";"31";"19";"72";"19";"12";"21";"0";"1012";"0";"0";""
Lecce;28/6/2023;"26";"20";"32";"21";"73";"21";"10";"21";"0";"1012";"0";"0";""
Lecce;29/6/2023;"25";"21";"28";"20";"74";"22";"11";"21";"0";"1014";"0";"0";""
Lecce;30/6/2023;"24";"18";"29";"20";"78";"19";"7";"17";"0";"1013";"0";"0";""
