LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA m;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Potenza;1/1/2024;"9,1";"8,2";"10,5";"6,9";"86";"0";"16";"0";"58";"0";"1016";"0";""
Potenza;2/1/2024;"7,9";"6,8";"9,8";"4,9";"81";"0";"18";"0";"55";"0";"1018";"0";""
Potenza;3/1/2024;"8,5";"7,2";"10,3";"6,2";"85";"0";"26";"0";"72";"0";"1015";"0";""
Potenza;4/1/2024;"9,1";"7,8";"11,4";"7,3";"88";"0";"21";"0";"64";"0";"1013";"0";""
Potenza;5/1/2024;"9,2";"7,9";"11,2";"5,8";"79";"0";"10";"0";"39";"0";"1011";"0,8";"pioggia "
Potenza;6/1/2024;"8,4";"6,5";"9,7";"5,7";"83";"0";"8";"0";"41";"0";"999";"4,8";"pioggia "
Potenza;7/1/2024;"4,9";"3,6";"6,5";"4,3";"95";"0";"14";"0";"59";"0";"996";"10,5";"pioggia "
Potenza;8/1/2024;"5";"4,2";"6,8";"3,7";"91";"0";"7";"0";"27";"0";"1004";"2,8";"pioggia "
Potenza;9/1/2024;"2,2";"1,3";"4,1";"2,1";"96";"0";"10";"0";"35";"0";"1018";"2,2";"pioggia "
Potenza;10/1/2024;"3,1";"1";"5,4";"1,6";"89";"0";"5";"0";"19";"0";"1025";"0";""
Potenza;11/1/2024;"4,1";"3,3";"5,2";"3,1";"93";"0";"10";"0";"32";"0";"1021";"3";"pioggia "
Potenza;12/1/2024;"1,9";"-0,1";"3,3";"0,4";"89";"0";"14";"0";"50";"0";"1020";"1";"pioggia "
Potenza;13/1/2024;"1,2";"-0,7";"2,9";"-1,8";"80";"0";"11";"0";"38";"0";"1022";"0,5";"pioggia neve "
Potenza;14/1/2024;"4,9";"2,4";"6,3";"2,1";"82";"0";"18";"0";"55";"0";"1016";"0";""
Potenza;15/1/2024;"8,2";"6,4";"9,9";"5,8";"84";"0";"21";"0";"64";"0";"1005";"0,5";"pioggia "
Potenza;16/1/2024;"8,9";"7,6";"11,1";"6,8";"87";"0";"18";"0";"51";"0";"1010";"0";""
Potenza;17/1/2024;"10,2";"8,9";"11,3";"7,9";"85";"0";"19";"0";"66";"0";"1011";"4,1";"pioggia "
Potenza;18/1/2024;"10,2";"9,1";"11,2";"8,4";"89";"0";"27";"0";"80";"0";"1006";"1,1";"pioggia "
Potenza;19/1/2024;"9,3";"6,6";"11,8";"7,6";"88";"0";"18";"0";"62";"0";"1009";"0,5";"pioggia "
Potenza;20/1/2024;"-0,2";"-2,8";"6";"0";"97";"0";"13";"0";"42";"0";"1019";"35";"pioggia neve "
Potenza;21/1/2024;"-1";"-2,7";"1,8";"-3,7";"82";"0";"12";"0";"41";"0";"1029";"0";""
Potenza;22/1/2024;"2,7";"-0,2";"6,2";"-1,5";"75";"0";"6";"0";"33";"0";"1032";"0";""
Potenza;23/1/2024;"4,5";"3,2";"6,7";"2";"84";"0";"13";"0";"47";"0";"1029";"0";""
Potenza;24/1/2024;"6,2";"3,7";"9,4";"1,7";"74";"0";"8";"0";"33";"0";"1030";"0";""
Potenza;25/1/2024;"6,5";"4,2";"9,8";"3,1";"79";"0";"10";"0";"36";"0";"1025";"0";""
Potenza;26/1/2024;"8,7";"5";"12,9";"-0,3";"54";"0";"4";"0";"13";"0";"1025";"0";""
Potenza;27/1/2024;"6";"4,3";"7,5";"3";"82";"0";"7";"0";"28";"0";"1028";"0";""
Potenza;28/1/2024;"3,8";"2,4";"5,6";"-0,4";"75";"0";"12";"0";"49";"0";"1034";"0";""
Potenza;29/1/2024;"3,9";"2,2";"6,8";"1,4";"85";"0";"10";"0";"34";"0";"1035";"0";""
Potenza;30/1/2024;"3,8";"1,9";"6,5";"0,5";"79";"0";"8";"0";"38";"0";"1036";"0";""
Potenza;31/1/2024;"5,6";"2,8";"10";"-2,6";"57";"0";"2";"0";"14";"0";"1033";"0";""
