LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA m;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Potenza;1/3/2025;"6,9";"1,2";"11,2";"4,2";"83";"48592";"2";"0";"5";"1020";"0";"3,5";"pioggia "
Potenza;2/3/2025;"6,5";"3,9";"8,8";"5,6";"94";"11927";"4";"0";"8";"1022";"0";"1,7";"pioggia "
Potenza;3/3/2025;"3,7";"-0,7";"7,6";"1";"82";"46657";"5";"0";"9";"1025";"0";"0,1";"pioggia "
Potenza;4/3/2025;"4";"-1,2";"9,8";"0,8";"79";"66051";"3";"0";"6";"1025";"0";"0";""
Potenza;5/3/2025;"5,9";"-0,7";"12,5";"1";"70";"66051";"2";"0";"5";"1027";"0";"0";""
Potenza;6/3/2025;"6,7";"0,8";"13,7";"0,9";"66";"66051";"3";"0";"6";"1026";"0";"0";""
Potenza;7/3/2025;"7,7";"0,7";"13,9";"1,4";"64";"79981";"3";"0";"7";"1019";"0";"0";"pioggia "
Potenza;8/3/2025;"8,1";"3,9";"11,6";"2,9";"69";"65541";"3";"0";"7";"1015";"0";"0,1";"pioggia "
Potenza;9/3/2025;"9,6";"2,5";"16,9";"4,3";"69";"52101";"3";"0";"6";"1013";"0";"0";""
Potenza;10/3/2025;"12,6";"5,2";"18,4";"7,2";"69";"51435";"4";"0";"11";"1010";"0";"5,7";"pioggia "
Potenza;11/3/2025;"11,7";"5,9";"18,2";"7,6";"75";"74822";"4";"0";"10";"1007";"0";"3,6";"pioggia "
Potenza;12/3/2025;"8,9";"5,5";"12,3";"6,6";"85";"41266";"5";"0";"13";"1004";"0";"3,9";"pioggia "
Potenza;13/3/2025;"8,7";"6,1";"13,1";"6,5";"86";"29780";"6";"0";"15";"1006";"0";"1,7";"pioggia "
Potenza;14/3/2025;"13,9";"6,4";"20,2";"5,7";"57";"63766";"8";"0";"18";"1005";"0";"0,1";"pioggia "
Potenza;15/3/2025;"13,8";"7,1";"21,8";"7,1";"63";"76218";"6";"0";"12";"1008";"0";"1,5";"pioggia "
Potenza;16/3/2025;"7,4";"2,2";"12,4";"4";"78";"41085";"7";"0";"11";"1016";"0";"0,9";"pioggia "
Potenza;17/3/2025;"6,2";"1,2";"11,8";"1,9";"74";"48160";"5";"0";"11";"1018";"0";"0,7";"pioggia "
Potenza;18/3/2025;"2,7";"-1,4";"6,7";"-1,7";"72";"72251";"6";"0";"9";"1025";"0";"2";"pioggia neve "
Potenza;19/3/2025;"2,1";"-2,5";"8";"-2,3";"72";"80001";"2";"0";"7";"1031";"0";"0";""
Potenza;20/3/2025;"4,8";"-3,6";"12,9";"-1";"66";"80001";"1";"0";"2";"1030";"0";"0";""
Potenza;21/3/2025;"8,1";"-1,1";"16,3";"1,1";"61";"80001";"2";"0";"5";"1025";"0";"0";""
Potenza;22/3/2025;"10,4";"4,2";"15,9";"3,3";"61";"72312";"3";"0";"7";"1015";"0";"2,4";"pioggia "
Potenza;23/3/2025;"13,6";"7,5";"20,1";"8,7";"72";"40140";"3";"0";"8";"1011";"0";"4,6";"pioggia "
Potenza;24/3/2025;"14,1";"7,6";"20,6";"10,4";"78";"51014";"3";"0";"7";"1013";"0";"5,5";"pioggia temporale "
Potenza;25/3/2025;"11,9";"7";"17,6";"7,9";"76";"39078";"2";"0";"6";"1016";"0";"3,7";"pioggia "
Potenza;26/3/2025;"8,8";"7";"10,9";"7,8";"93";"4846";"3";"0";"7";"1008";"0";"32,5";"pioggia temporale "
Potenza;27/3/2025;"7";"3,4";"10,9";"5,5";"90";"24231";"3";"0";"6";"1004";"0";"3,8";"pioggia "
Potenza;28/3/2025;"7,3";"3,5";"11,3";"5,3";"87";"31027";"1";"0";"3";"1002";"0";"4,3";"pioggia "
Potenza;29/3/2025;"7,2";"5,4";"9,3";"6,2";"93";"4449";"1";"0";"3";"1001";"0";"11,5";"pioggia "
Potenza;30/3/2025;"7,6";"4,4";"10,5";"6,3";"92";"30032";"5";"0";"8";"1007";"0";"3,8";"pioggia "
Potenza;31/3/2025;"6,2";"4,1";"9,7";"5,4";"94";"7227";"5";"0";"9";"1007";"0";"6,2";"pioggia "
