LOCALITA;ANNO;MESE;GIORNO;SIN_GIORNO;COS_GIORNO;TMEDIA °C;TEMPERATURA_MEDIA_ANNO_PRECEDENTE;TMIN °C;TMAX °C;UMIDITA %;VENTOMEDIA km/h;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI;PRED_RF
Lecce;2025;9;23;-0,99069;-0,13612;24,0;16,8;18,0;30,0;67;0;0;0,0;soleggiato;22,0
Lecce;2025;9;24;-0,99289;-0,11906;25,0;17,1;19,0;30,0;72;0;0;2,2;soleggiato;21,94
Lecce;2025;9;25;-0,99479;-0,10196;24,0;16,3;19,0;29,0;64;0;0;0,0;soleggiato;21,99
Lecce;2025;9;26;-0,9964;-0,08483;21,0;18,1;15,0;27,0;69;0;0;0,1;soleggiato;22,02
Lecce;2025;9;27;-0,99771;-0,06768;20,0;20,3;14,0;26,0;78;0;0;0,3;pioggia temporale;22,31
Lecce;2025;9;28;-0,99872;-0,05051;19,0;18,3;17,0;25,0;82;0;0;4,8;pioggia temporale;22,14
Lecce;2025;9;29;-0,99944;-0,03332;19,0;12,3;15,0;25,0;76;0;0;0,3;soleggiato;22,7
Lecce;2025;9;30;-0,99987;-0,01613;19,0;12,7;14,0;26,0;70;0;0;0,1;soleggiato;22,07
Lecce;2025;10;1;-1,0;0,00108;18,0;15,4;15,0;20,0;86;0;0;13,8;pioggia temporale;21,06
Lecce;2025;10;2;-0,99983;0,01828;16,0;18,1;12,0;19,0;79;4;0;6,0;pioggia;20,44
Lecce;2025;10;3;-0,99937;0,03547;11,0;17,8;10,0;14,0;88;0;0;7,9;pioggia temporale;20,34
Lecce;2025;10;4;-0,99861;0,05266;14,0;14,7;10,0;18,0;72;0;0;1,5;soleggiato;20,63
Lecce;2025;10;5;-0,99756;0,06983;17,0;12,8;11,0;23,0;76;0;0;2,8;pioggia;21,47
Lecce;2025;10;6;-0,99621;0,08698;16,0;12,6;12,0;20,0;74;2;0;0,3;soleggiato;19,44
Lecce;2025;10;7;-0,99457;0,1041;17,0;14,8;13,0;19,0;59;12;0;0,8;soleggiato;19,96
Lecce;2025;10;8;-0,99263;0,12119;17,0;17,9;13,0;21,0;59;10;0;0,1;soleggiato;19,7
Lecce;2025;10;9;-0,9904;0,13825;16,0;16,4;11,0;21,0;68;0;0;0,0;soleggiato;19,77
Lecce;2025;10;10;-0,98787;0,15527;16,0;17,0;9,0;22,0;80;0;0;0,0;soleggiato;19,76
Lecce;2025;10;11;-0,98506;0,17224;18,0;14,6;13,0;23,0;76;0;0;0,0;soleggiato;19,67
Lecce;2025;10;12;-0,98195;0,18916;17,0;13,9;12,0;22,0;70;0;0;0,0;soleggiato;16,88
Lecce;2025;10;13;-0,97855;0,20602;16,0;13,9;11,0;21,0;81;0;0;0,0;soleggiato;16,86
Lecce;2025;10;14;-0,97486;0,22282;15,0;15,8;10,0;22,0;83;0;0;0,0;nebbia;19,57
Lecce;2025;10;15;-0,97088;0,23956;16,0;18,8;10,0;21,0;77;0;0;2,1;pioggia;19,35
Lecce;2025;10;16;-0,96662;0,25622;17,0;19,6;16,0;19,0;88;0;0;31,0;pioggia;19,68
Lecce;2025;10;17;-0,96207;0,27281;18,0;18,8;15,0;22,0;90;0;0;17,4;pioggia;19,35
Lecce;2025;10;18;-0,95723;0,28932;17,0;16,3;14,0;22,0;85;0;0;3,8;pioggia;19,52
Lecce;2025;10;19;-0,95211;0,30574;16,0;14,6;12,0;21,0;85;0;0;1,5;soleggiato;19,25
Lecce;2025;10;20;-0,94671;0,32208;14,0;14,3;9,0;21,0;86;0;0;0,0;nebbia;19,06
Lecce;2025;10;21;-0,94103;0,33831;18,0;15,4;12,0;23,0;84;0;0;0,2;soleggiato;19,63
Lecce;2025;10;22;-0,93507;0,35445;19,0;15,5;16,0;23,0;83;0;0;0,4;nebbia;19,31
Lecce;2025;10;23;-0,92884;0,37048;20,0;16,4;16,0;23,0;84;0;0;0,4;nebbia;19,22
Lecce;2025;10;24;-0,92233;0,38641;21,0;15,7;17,0;24,0;69;0;0;0,0;soleggiato;19,21
Lecce;2025;10;25;-0,91555;0,40221;18,0;16,2;12,0;23,0;74;0;0;0,0;soleggiato;19,19
Lecce;2025;10;26;-0,90849;0,4179;21,0;15,5;17,0;25,0;78;0;0;4,2;soleggiato;19,2
Lecce;2025;10;27;-0,90117;0,43347;18,0;15,1;13,0;22,0;75;0;0;3,4;pioggia;19,02
Lecce;2025;10;28;-0,89358;0,44891;16,0;14,5;10,0;21,0;80;0;0;0,0;soleggiato;18,7
Lecce;2025;10;29;-0,88572;0,46421;16,0;13,7;9,0;23,0;74;0;0;0,0;soleggiato;16,07
Lecce;2025;10;30;-0,87761;0,47938;19,0;13,7;14,0;23,0;83;0;0;0,3;soleggiato;16,07
Lecce;2025;10;31;-0,86923;0,4944;19,0;13,4;16,0;21,0;87;0;0;2,2;soleggiato;16,07
Lecce;2025;11;1;-0,8606;0,50928;17,0;13,9;13,0;22,0;87;0;0;0,2;nebbia;16,07
Lecce;2025;11;2;-0,85171;0,52401;17,0;13,3;12,0;23,0;87;0;0;0,3;nebbia;16,07
Lecce;2025;11;3;-0,84257;0,53858;19,0;12,8;17,0;22,0;85;0;0;4,0;pioggia;16,08
Lecce;2025;11;4;-0,83318;0,553;16,0;11,5;11,0;19,0;80;0;0;1,0;soleggiato;16,08
Lecce;2025;11;5;-0,82355;0,56725;14,0;11,3;10,0;19,0;78;0;0;0,0;soleggiato;15,9
Lecce;2025;11;6;-0,81367;0,58133;13,0;11,1;7,0;19,0;84;0;0;0,0;nebbia;15,14
Lecce;2025;11;7;-0,80355;0,59524;15,0;11,0;8,0;20,0;87;0;0;13,9;pioggia temporale;14,91
Lecce;2025;11;8;-0,79319;0,60897;16,0;10,0;13,0;21,0;84;0;0;3,0;pioggia;14,7
Lecce;2025;11;9;-0,7826;0,62253;17,0;10,5;13,0;19,0;92;0;0;14,6;pioggia temporale;13,96
Lecce;2025;11;10;-0,77177;0,6359;16,0;10,5;13,0;19,0;88;0;0;2,9;pioggia temporale;13,66
Lecce;2025;11;11;-0,76072;0,64908;13,0;9,0;8,0;19,0;83;0;0;0,0;soleggiato;14,33
Lecce;2025;11;12;-0,74944;0,66207;13,0;7,0;8,0;19,0;86;0;0;0,0;nebbia;14,53
Lecce;2025;11;13;-0,73794;0,67486;12,0;7,7;6,0;19,0;88;0;0;0,0;nebbia;14,47
Lecce;2025;11;14;-0,72622;0,68746;12,0;8,0;6,0;21,0;83;0;0;0,0;nebbia;14,47
Lecce;2025;11;15;-0,71429;0,69985;13,0;4,9;7,0;20,0;87;0;0;0,0;soleggiato;14,4
Lecce;2025;11;16;-0,70215;0,71203;15,0;6,2;9,0;21,0;90;0;0;0,0;soleggiato;14,42
Lecce;2025;11;17;-0,6898;0,724;20,0;9,3;18,0;22,0;86;0;0;1,0;soleggiato;13,97
Lecce;2025;11;18;-0,67724;0,73576;19,0;11,6;17,0;20,0;88;0;0;7,1;pioggia;13,1
Lecce;2025;11;19;-0,66448;0,7473;16,0;11,4;15,0;17,0;95;0;0;14,7;pioggia temporale;13,06
Lecce;2025;11;20;-0,65153;0,75862;16,0;10,2;13,0;20,0;89;0;0;0,5;pioggia nebbia;13,13
Lecce;2025;11;21;-0,63838;0,76972;14,0;8,5;10,0;20,0;85;0;0;1,0;soleggiato;14,25
Lecce;2025;11;22;-0,62505;0,78058;11,0;8,6;7,0;15,0;88;0;0;2,6;pioggia temporale;14,23
Lecce;2025;11;23;-0,61153;0,79122;9,0;1,6;5,0;14,0;80;0;0;1,4;pioggia temporale;13,74
Lecce;2025;11;24;-0,59783;0,80162;11,0;4,6;2,0;16,0;79;0;0;0,3;soleggiato;11,66
Lecce;2025;11;25;-0,58395;0,81179;17,0;7,4;14,0;19,0;78;3;0;0,2;soleggiato;11,27
Lecce;2025;11;26;-0,5699;0,82171;15,0;10,8;13,0;18,0;85;0;0;5,2;pioggia;11,98
Lecce;2025;11;27;-0,55568;0,83139;11,0;11,4;8,0;17,0;93;0;0;8,6;pioggia temporale nebbia;12,12
Lecce;2025;11;28;-0,5413;0,84083;11,0;11,7;7,0;13,0;93;0;0;16,6;pioggia;12,2
Lecce;2025;11;29;-0,52675;0,85002;11,0;7,8;7,0;14,0;88;0;0;4,6;pioggia;11,16
Lecce;2025;11;30;-0,51206;0,85895;10,0;3,2;5,0;16,0;82;0;0;0,1;soleggiato;11,06
Lecce;2025;12;1;-0,4972;0,86763;11,0;5,3;6,0;18,0;85;0;0;0,4;soleggiato;11,15
Lecce;2025;12;2;-0,48221;0,87606;13,0;6,9;9,0;18,0;89;0;0;2,5;soleggiato;11,15
Lecce;2025;12;3;-0,46706;0,88422;14,0;6,9;13,0;17,0;90;0;0;19,2;pioggia;11,15
Lecce;2025;12;4;-0,45179;0,89213;14,0;7,8;11,0;16,0;88;4;0;34,3;pioggia temporale;10,96
Lecce;2025;12;5;-0,43637;0,89977;12,0;5,9;9,0;16,0;93;0;0;7,3;pioggia temporale;10,96
Lecce;2025;12;6;-0,42083;0,90714;13,0;6,6;11,0;15,0;89;0;0;2,6;pioggia;10,96
Lecce;2025;12;7;-0,40516;0,91424;12,0;5,6;9,0;15,0;85;0;0;0,3;soleggiato;10,8
Lecce;2025;12;8;-0,38938;0,92108;12,0;5,5;8,0;16,0;85;0;0;0,1;soleggiato;10,73
Lecce;2025;12;9;-0,37348;0,92764;10,0;5,0;5,0;16,0;91;0;0;0,0;nebbia;10,73
Lecce;2025;12;10;-0,35746;0,93393;10,0;4,7;5,0;16,0;94;0;0;0,1;nebbia;10,72
Lecce;2025;12;11;-0,34135;0,93994;11,0;5,1;6,0;16,0;92;0;0;0,3;nebbia;10,66
Lecce;2025;12;12;-0,32513;0,94567;12,0;4,9;9,0;15,0;88;0;0;0,2;soleggiato;10,63
Lecce;2025;12;13;-0,30881;0,95112;11,0;6,8;7,0;16,0;88;0;0;0,0;soleggiato;10,62
Lecce;2025;12;14;-0,29241;0,95629;11,0;8,9;6,0;16,0;87;0;0;0,1;nebbia;10,62
Lecce;2025;12;15;-0,27591;0,96118;9,0;5,6;4,0;16,0;90;0;0;0,0;nebbia;10,6
Lecce;2025;12;16;-0,25934;0,96579;11,0;4,9;5,0;15,0;94;0;0;1,1;nebbia;10,45
Lecce;2025;12;17;-0,24269;0,9701;15,0;9,4;13,0;18,0;90;0;0;2,3;soleggiato;10,4
Lecce;2025;12;18;-0,22596;0,97414;15,0;7,9;12,0;18,0;94;0;0;0,6;nebbia;9,99
Lecce;2025;12;19;-0,20917;0,97788;13,0;7,4;12,0;16,0;96;0;0;1,8;pioggia nebbia;9,98
Lecce;2025;12;20;-0,19232;0,98133;13,0;5,2;11,0;15,0;93;0;0;0,7;soleggiato;9,98
Lecce;2025;12;21;-0,17541;0,9845;11,0;1,5;6,0;15,0;93;0;0;0,2;nebbia;9,98
Lecce;2025;12;22;-0,15845;0,98737;11,0;4,2;6,0;18,0;89;0;0;0,3;nebbia;9,98
Lecce;2025;12;23;-0,14144;0,98995;14,0;2,4;11,0;17,0;90;1;0;10,6;pioggia temporale;9,98
Lecce;2025;12;24;-0,12439;0,99223;12,0;-0,0;9,0;16,0;82;0;0;3,0;soleggiato;9,98
Lecce;2025;12;25;-0,10731;0,99423;12,0;1,9;10,0;17,0;85;0;0;7,4;soleggiato;9,98
Lecce;2025;12;26;-0,09019;0,99592;11,0;4,1;8,0;15,0;88;0;0;0,8;pioggia;9,98
Lecce;2025;12;27;-0,07305;0,99733;10,0;5,3;6,0;14,0;85;0;0;0,0;soleggiato;9,98
Lecce;2025;12;28;-0,05588;0,99844;9,0;4,9;4,0;13,0;90;0;0;0,1;soleggiato;9,98
Lecce;2025;12;29;-0,0387;0,99925;8,0;5,9;4,0;14,0;82;0;0;0,0;soleggiato;9,98
Lecce;2025;12;30;-0,0215;0,99977;7,0;8,3;3,0;14,0;87;0;0;1,5;soleggiato;10,0
Lecce;2025;12;31;-0,0043;0,99999;5,0;8,1;3,0;8,0;64;1;0;0,0;pioggia;10,0
